Club Address,Club Number,Club E-mail,Club name
"Borgwedeler Weg 16, D-24357 Güby, Germany",+49 4354 98184,club@gc-schlei.de,Golf-Club an der Schlei e.V.
"Tutzinger Straße 15, D-82340 Feldafing, Germany",+49 8157 93340,info@golfclub-feldafing.de,Golf Club Feldafing e.V.
"Steinpatt 13, D-59320 Ennigerloh-Ostenfelde, Germany",+49 2524 5799,info@gcsv.de,Golf-Club Schloß Vornholz e.V.
"Steenbecksweg 12, D-46514 Schermbeck, Germany",+49 2856 91370,info@gcww.de,Golfclub Weselerwald e.V.
"Im Mailand 127, D-44797 Bochum-Stiepel, Germany",+49 234 799832,info@bochumer-golfclub.de,Bochumer Golfclub e.V.
"Deuringer Straße 20, D-86391 Stadtbergen/Augsburg, Germany",+49 821 437242,gcl@golfclub-leitershofen.de,Golf Club Leitershofen e.V.
"Hof Bornbek-Hoisdorf, D-22952 Lütjensee, Germany",+49 4107 7831,info@gc-hoisdorf.com,Golf-Club Hoisdorf e.V.
"Schultenweg 1, D-28857 Syke-Okel, Germany",+49 4242 8230,info@golfclub-syke.de,Golfclub Syke e.V.
"Dahlkampsweg 2, D-31234 Edemissen, Germany",+49 5176 90112,info@gcpe.de,Golf-Club Peine-Edemissen e.V.
"Feldscheide 2, D-23827 Wensin, Germany",+49 4559 1360,info@golfclub-segeberg.de,"Golfclub Segeberg e.V., Gut Wensin"
"Am Riesenbett, D-21521 Dassendorf, Germany",+49 4104 6120,info@gc-sachsenwald.de,Golf-Club Am Sachsenwald e.V.
"Am Golfplatz 4, D-26639 Wiesmoor, Germany",+49 4944 6440,golf@golfclubostfriesland.de,Golfclub Ostfriesland e.V.
"Zum Belvedere, D-18209 Wittenbeck, Germany",+49 38293 410090,info@golf-resort-wittenbeck.de,Ostsee Golf Club Wittenbeck e.V.
"Oed 1, D-83620 Feldkirchen-Westerham, Germany",+49 8063 6300,info@gc-mangfalltal.de,Golfclub Mangfalltal e.V.
"Am Golfplatz, D-41469 Neuss, Germany",+49 2137 91910,service@hummelbachaue.de,Golfanlage Hummelbachaue
"Köckmühle 132, D-83539 Pfaffing, Germany",+49 8076 8891870,club@gcpwl.de,Golfclub Pfaffing Wasserburger Land e.V.
"Am Golfplatz 5, D-15749 Mittenwalde OT Motzen, Germany",+49 33769 50130,info@golfclubmotzen.de,Berliner Golf & Country Club Motzener See e.V.
"Muderbolz 10, D-87527 Ofterschwang, Germany",+49 8321 272181,golf@sonnenalp.de,Golfplatz Sonnenalp
"Koppelweg 103, D-88348 Bad Saulgau, Germany",+49 7581 527455,info@gc-bs.de,GREEN-GOLF Bad Saulgau GbR
"Werdenfelserstr. 2, D-82467 Garmisch-Partenkirchen, Germany",+49 8821 945670,info@golfclub-werdenfels.de,Land- und Golfclub Werdenfels e.V.
"Karlshäuser Hof, D-75248 Öllbronn-Dürrn, Germany",+49 7237 484000,info@golfyouup.de,Golfyouup GmbH
"Hofgut Hochstatt, D-73450 Neresheim, Germany",+49 7326 5649,info@golfclub-hochstatt.de,Golf-Club Hochstatt Härtsfeld-Ries e.V.
"Schwaghof 4, D-32108 Bad Salzuflen, Germany",+49 5222 10773,info@golfclub-bad-salzuflen.de,Golf- und Landclub Bad Salzuflen von 1956 e.V.
"Schlingener Straße 27, D-87668 Rieden, Germany",+49 8346 777,golfclub@bad-woerishofen.de,Golfclub Bad Wörishofen e.V.
"Bornmühle 1a, D-17094 Groß Nemerow, Germany",+49 39605 27376,info@gc-mst.de,Golfclub Mecklenburg-Strelitz e.V.
"Pauenweg 68, D-47661 Issum, Germany",+49 2835 92310,golfclub-issum@t-online.de,Golf Club Issum-Niederrhein e.V.
"Pannschoppen 2, D-42781 Haan, Germany",+49 2104 170307,info@golfclub-haan-duesseltal.de,Golfclub Haan Düsseltal 1994 e.V.
"Gut Deixlfurt 7, D-82327 Tutzing, Germany",+49 8158 3600,service@golfplatz-tutzing.de,Golfclub Tutzing
"Bäckerbarg 10, D-22889 Tangstedt, Germany",+49 4109 5544546,info@golfclub-oberalster.de,Golfclub Hamburg-Oberalster
"Schönenberger Straße 17, D-79677 Schönau, Germany",+49 7673 888660,Info@golfschoenau.de,Golf Club Schönau e.V.
"Boschach 3, D-87724 Ottobeuren, Germany",+49 8332 92510,info@aglc.de,Allgäuer Golf- und Landclub e.V.
"Schaichhof, D-71088 Holzgerlingen, Germany",+49 7157 67966,info@gc-schoenbuch.de,Golfclub Schönbuch e.V.
"Weidenloh 40, D-91278 Pottenstein, Germany",+49 9243 929210,info@gc-pottenstein.de,Golf Club Pottenstein-Weidenloh e.V.
"Am Röderweg 3, D-99820 Hörselberg-Hainich, Germany",+49 36920 71871,info@golf-eisenach.de,Golfclub Eisenach im Wartburgkreis e.V.
"Sparnecker Weg 100, D-14089 Berlin, Germany",+49 30 3650006,info@golfclubgatow.de,Berliner Golf Club Gatow e.V.
"Grevenmühle 3, D-40882 Ratingen-Homberg, Germany",+49 2102 95950,golfclub@grevenmuehle.de,Golf Club Grevenmühle GmbH
"Riedhof 16, D-82544 Egling-Riedhof, Germany",+49 8171 21950,info@riedhof.de,Golfclub München-Riedhof e.V.
"Weißer Weg, D-65201 Wiesbaden, Germany",+49 611 1842416,golfc@golfclubrheinmain.de,Golfclub Rhein-Main e.V.
"Am Weiher 1, D-15345 Atlandsberg - Wilkendorf, Germany",+49 3341 330960,info@golfpark-schloss-wilkendorf.com,Golfpark Schloss Wilkendorf
"Huxoll 14, D-32825 Blomberg-Cappel, Germany",+49 5236 459,sekretariat@lippischergolfclub.de,Lippischer Golfclub e.V.
"Hof Loh, D-29614 Soltau-Tetendorf, Germany",+49 5191 9676333,info@golf-soltau.de,Golfpark Soltau
"An der Lache 1, D-63500 Seligenstadt (OT Froschhausen), Germany",+49 6182 828990,sekretariat@golf-seligenstadt.de,Golfclub Seligenstadt am Kortenbach e.V.
"Matthias-Bauer-Str. 108, D-86633 Neuburg-Heinrichsheim, Bayern, Germany",+49 8431 5387844,info@zieglersgolfplatz.de,Zieglers Golfplatz GmbH & Co. KG
"Stoote 1, D-42499 Hückeswagen, Germany",+49 2192 85470,sekretariat@dreibaeumen.de,Golfclub Dreibäumen e.V.
"Hohenpähl, D-82396 Pähl, Germany",+49 8808 92020,info@gchp.de,Golf Club Hohenpähl e.V.
"An der B 291, D-68723 Oftersheim, Germany",+49 6202 56390,Info@golfplatz-rheintal.de,Golf Platz Rheintal GmbH & Co. KG
"Am Golfplatz 3, D-49143 Bissendorf-Jeggen, Germany",+49 5402 5636,info@ogc.de,Osnabrücker Golf Club e.V.
"Velderhof, D-50259 Pulheim, Germany",+49 2238 923940,info@velderhof.de,Golf & Country Club Velderhof e.V.
"Neuer Garten 2, D-74639 Friedrichsruhe-Zweiflingen, Germany",+49 7941 92080,golf@gc-heilbronn-hohenlohe.de,Golf-Club Heilbronn-Hohenlohe e.V.
"Niederreutin 1, D-71149 Bondorf, Germany",+49 7457 94490,info@golf-bondorf.de,Golfclub Domäne Niederreutin e.V.
"Am Hirschfuß 2-4, D-51061 Köln, Germany",+49 214 50047500,info@golfclub-leverkusen.de,Golf Club Leverkusen e.V.
"Alte Landstraße 1, D-25693 St. Michaelisdonn, Germany",+49 4853 880909,info@golf-am-donner-kleve.de,Golf am Donner Kleve
"Auf Kinnscheid 1, D-54636 Baustert, Germany",+49 6527 934977,info@golfclub-suedeifel.de,Golfclub Südeifel
"Kreuzstraße 10, D-51647 Gummersbach-Berghausen, Germany",+49 2266 440447,info@gimborner-land.de,Golfanlage Gimborner Land
"Gut Rettenberg, D-82393 Iffeldorf, Germany",+49 8856 92550,info@golfplatz-iffeldorf.de,Golfplatz Iffeldorf GmbH & Co. KG
"Buchenauerhof 4, D-74889 Sinsheim-Weiler, Germany",+49 7265 7258,info@golfclubsinsheim.de,Golfclub Sinsheim Buchenauer Hof e.V.
"Hardt 21, D-47877 Willich, Germany","+49 2159 911093, +49 2159 915950",sekretariat@gcduvenhof.de,Golfanlage Duvenhof
"Am Hockenberg 100, D-21218 Seevetal, Germany",+49 4105 52245,info@amhockenberg.de,Golf- & Country Club am Hockenberg e.V.
"Zur Weilersheck 1, D-54636 Wissmannsdorf, Germany",+49 6527 92720,info@bitgolf.de,Golf-Resort Bitburger Land
"Kowitzberg 41, D-23570 Lübeck-Travemünde, Germany",+49 4502 74018,info@ltgk.de,Lübeck-Travemünder Golf-Klub von 1921 e.V.
"Am Kallin 1, D-14641 Nauen OT Börnicke, Germany",+49 33230 8940,info@golf-kallin.de,Golfanlage Kallin
"Bagno, Hollich 156a, D-48565 Steinfurt, Germany",+49 2551 833550,info@gc-muensterland.de,Golf Club Münsterland e.V. Burgsteinfurt
"Freiherr-v.-Stein-Straße 92a, D-45133 Essen-Hügel, Germany",+49 201 444600,golf@etuf.de,Golfriege ETUF e.V. Essener Turn- u. Fechtclub
"Schloßstraße 1, D-45701 Herten-Westerholt, Germany",+49 209 165840,info@gc-westerholt.de,Golfclub Schloß Westerholt e.V.
"Postfach 1509, D-26479 Wangerooge, Germany",+49 172 3614858,post@golf-wangerooge.de,Golf Club Insel Wangerooge e.V
"Bgm.-Spitta-Allee 34, D-28329 Bremen, Germany",+49 421 230041,info@club-zur-vahr.de,"Club zur Vahr e.V. Bremen, Platz Vahr"
"Am Haidschlag 39-45, D-22926 Ahrensburg, Germany",+49 4102 51309,info@golfclub-ahrensburg.de,Golf Club Hamburg Ahrensburg e.V.
"Am Nassen Berg 1, D-65510 Idstein-Wörsdorf, Germany",+49 6126 93220,suedkurs@golfpark-idstein.de,Golfpark Idstein e.V.
"Schleinhof, D-91077 Kleinsendelbach, Germany",+49 9126 5004,info@gc-erlangen.de,Golf Club Erlangen e.V.
"Middelicher Straße 72, D-45891 Gelsenkirchen-Buer, Germany",+49 209 701100,info@haus-leythe.de,Gelsenkirchener Golfclub Haus Leythe e.V.
"Otmar-Schaller-Allee 1, D-91438 Bad Windsheim, Germany",+49 9841 5027,gc.badwindsheim@t-online.de,Golf Club Reichsstadt Bad Windsheim e.V.
"Gut Rieden, D-82319 Starnberg, Germany",+49 8151 90770,info@gut-rieden.de,Golfanlage Gut Rieden
"Deutenhof 2, D-93077 Bad Abbach, Germany",+49 9405 95320,info@golf-badabbach.de,Golfclub Bad Abbach Deutenhof e.V.
"In der Trift 4, D-21509 Glinde, Germany",+49 40 7100506,info@golf-gut-glinde.de,Golfclub Gut Glinde e.V.
"Weng 12, D-83404 Ainring, Germany",+49 8654 69020,info@gcbgl.de,Golfclub Berchtesgadener Land e.V.
"Golfparkallee 1, D-66606 St. Wendel, Germany",+49 6851 979800,stwendel@golf-absolute.de,Wendelinus Golfpark
"Schlossstraße 15, D-85658 Egmating, Germany",+49 8095 90860,empfang@gc-egmating.de,Golfplatz Schloss Egmating
"Hamburger Straße 61, D-24576 Bad Bramstedt, Germany",+49 4192 897515,kontakt@golfclub-badbramstedt.de,Golfclub Bad Bramstedt e.V.
"Mollenkotten 220, D-42279 Wuppertal, Germany",+49 202 264822222,info@golfclub-felderbach.de,Öffentl. Golfanlage Am Mollenkotten Wuppertal
"Hauptstr. 10, D-17419 Korswandt, Germany",+49 38378 805070,info@baltic-hills.de,Baltic Hills Golf Usedom
"Am Kurfürstenweg 13, D-85232 Eschenried, Germany",+49 8131 567456,sekretariat.eschenhof@golf-eschenried.de,Münchner Golf Eschenried - Golfplatz Eschenhof
"Darmstädter Straße 111, D-64846 Groß-Zimmern, Germany",+49 6071 92210,info@gc-zimmern.de,Zimmerner Golf Club 1995 e.V.
"Bramstedter Landstraße Nr. 1, D-25355 Lutzhorn, Germany",+49 4123 7408,info@golfclub-lutzhorn.de,Golf Club Lutzhorn e.V.
